,date,text
28,2020-11-11 19:48:18,"#مباراة_ودية ⚽

هولندا تستضيف إسبانيا في قمة أوروبية مرتقبة 🔥

مباشرة الآن على HD1 📺

🎙️ تعليق حفيظ دراجي 

اشترك الآن ولا تفوت المتعة 👇

🔗https://t.co/XVTWo3xp77 
📱https://t.co/alkogGtHdW https://t.co/OC48UB5lyi"
29,2020-11-11 18:33:40,"تصفيات #كأس_أمم_أفريقيا: المنتخب السنغالي يحقق فوزاً منطقياً على غينيا بيساو

🎬 شاهد ملخص المباراة 👇

https://t.co/Ov3rct8Pqu"
30,2020-11-11 18:17:00,"تصفيات #كأس_أمم_أفريقيا: #موريتانيا تسقط في فخ التعادل أمام ضيفتها #بوروندي 

https://t.co/uXIj3OFTvv"
31,2020-11-11 17:51:37,"#قطر2022 

تصفيات آسيا المؤهلة للمونديال تستأنف في مارس 🗓️⚽️

https://t.co/U42KHRknCl"
32,2020-11-11 17:11:25,"ضربة جديدة لدفاع ليفربول.. غوميز يتعرض للإصابة أثناء تدريبات المنتخب الإنكليزي 🤦‍♂️

https://t.co/i6C5slkxfe"
33,2020-11-11 17:08:23,"فريق هوفنهايم يدخل الحجر الصحي بعد تفشي كورونا في صفوفه 😷

https://t.co/iRaruWbIpY"
34,2020-11-11 15:30:00,"#تصفيات_يورو_2020 ⚽️

مدرب المنتخب المجري يصاب بفيروس كورونا قبل مباراة فريقه المصيرية ضد أيسلندا في الملحق المؤهل الى كأس أوروبا 2020 والمقرر غداً الخميس في بوادبست.

#Euro2020
https://t.co/iKlS5SjRQ3"
35,2020-11-11 15:00:00,"#دوري_الأمم_الأوروبية ⚽️

كورونا يُبعد مدرب السويد عن مباراتي كرواتيا وفرنسا

#UEFANationsLeague
https://t.co/ETcsoVK7Kb"
36,2020-11-11 14:30:00,"#الدوري_الأميركي_للمحترفين 🏀

وفاة أسطورة بوسطن سلتيكس تومي هاينسون عن عمر 86 عاما

#NBA 
https://t.co/xK19cv6aGL"
37,2020-11-11 14:00:00,"#كرة_القدم ⚽️

 لاعب وسط ريال مدريد الإسباني ومنتخب الأرجنتين السابق فرناندو غاغو يعلن اعتزاله اللعب نهائياً بعمر الرابعة والثلاثين

#Football
https://t.co/QFzPXoUSnn"
38,2020-11-11 13:54:00,"📰 آخر الأخبار الرياضية في #٩٠ثانية
https://t.co/5bGlrHelf2"
39,2020-11-11 13:00:30,"⚽️🔥 الديربي المنتظر بين #الأهلي و #الزمالك في نهائي #دوري_أبطال_أفريقيا يقترب، فهل أنت على أتم استعداد لمشاهدة المواجهة المرتقبة؟

 💬 اختبر معلوماتك في تحدي #الأبطال💪 وعش أجواء الصدام المثير 👇

من هو الفريق صاحب الرقم القياسي في عدد مرات الفوز بلقب دوري أبطال إفريقيا؟ 🤔"
40,2020-11-11 12:13:41,"#كرة_القدم ⚽️

الرئيس السابق للاتحاد المصري لكرة القدم هاني أبو ريدة يعلن عدم ترشحه لمنصب رئيس الاتحاد الإفريقي ""رغم حصوله على تزكية ودعم العديد من رؤساء الاتحادات الإفريقية"".

#Football
https://t.co/JejZ3mauTA"
41,2020-11-11 11:21:20,"#قطر_2022

البرازيل🇧🇷 والأرجنتين🇦🇷 لفوز ثالث توالياً ضمن تصفيات كأس العالم FIFA قطر 2022™

#Qatar2022
https://t.co/xaZWsNzRDu"
42,2020-11-12 12:00:00,"A nice bit of #ThrowbackThursday action. 

March 2005 - Sergio Ramos makes his first start for Spain! 🇪🇸

Ramos could break Gianluigi Buffon's European caps record on Saturday with an appearance against Switzerland!

#NationsLeague https://t.co/x5v6utNq7s"
43,2020-11-12 11:34:45,"The English FA has asked the government to grant a travel exemption for the Iceland ahead of their Nations League game on November 18

#NationsLeague 

https://t.co/qZELJutkaH"
44,2020-11-12 11:25:52,"RT @beINSPORTS_EN: Let's sort this out with a poll! 💪

Which French defensive midfielder is the best? 🇫🇷

You have 24 hours! ⏰

#beINTERACT"
45,2020-11-12 11:00:01,"Italy are now unbeaten in 20 international games following a comfortable 4-0 win over Estonia 🇮🇹

https://t.co/gv0SbWDM3h"
46,2020-11-12 10:30:00,"Diego Maradona is out of hospital and on the road to recovery 👊

https://t.co/sAY0K9Tfje"
47,2020-11-12 10:00:01,"Gareth Southgate is backing Jordan Pickford, despite a few eventful weeks in the Premier League @sbates_people &amp; @MelissaReddy_ discuss the fortunes of the Everton keeper! 🧤

Listen and subscribe to @CarrieBrownTV's #beINTheKnow Podcast 👇

https://t.co/l42wWk9t1F https://t.co/yHgb0ew7wG"
48,2020-11-12 09:30:00,"Liverpool fans will be eagerly waiting the results of those scans.

#beINPL 

https://t.co/oLG7TljKwn"
49,2020-11-12 09:00:00,"🎬 Highlights 

Michy Batshuayi scored twice as Belgium picked up a 2-1 win against Switzerland 

https://t.co/zMeInc7stH"
50,2020-11-12 08:30:00,"The club and players have yet to come to an agreement over a salary reduction.

#beINLiga 

https://t.co/bpXEipKoSr"
